,modelo,ano_modelo,marca,modelo_raw
342,JOY HATCH 1.0 8V BLACK EDITION FLEX MEC.,2021.0,GM - CHEVROLET,JOY HATCH 1.0 8V BLACK EDITION FLEX MEC.
347,HB20X STYLE 1.6 FLEX 16V MEC.,2019.0,HYUNDAI,HB20X STYLE 1.6 FLEX 16V MEC.
352,COMPASS LONGITUDE D,2018.0,JEEP,JEEP/COMPASS LONGITUDE D
353,SPIN ACTIV 1.8 8V ECONO. FLEX 5P AUT.,2019.0,GM - CHEVROLET,SPIN ACTIV 1.8 8V ECONO. FLEX 5P AUT.
355,A200 SD HI,2019.0,M.BENZ,I/M.BENZ A200 SD HI
364,CRUZE HB SPORT LT 1.8 16V FLEXP. 5P MEC.,2018.0,GM - CHEVROLET,CRUZE HB SPORT LT 1.8 16V FLEXP. 5P MEC
365,COMPASS LONGITUDE 2.0 4X2 FLEX 16V AUT.,2018.0,JEEP,COMPASS LONGITUDE 2.0 4X2 FLEX 16V AUT.
366,VOYAGE C/CL/FOX 1.6,2018.0,VW - VOLKSWAGEN,VOYAGE C/CL/FOX 1.6
368,UNO ATTRACTIVE 1.0 FIRE FLEX 8V 5P,2021.0,FIAT,UNO ATTRACTIVE 1.0 FIRE FLEX 8V 5P
372,SIENA ATTRACTIVE 1.4 FIRE FLEX 8V 4P,2018.0,FIAT,SIENA ATTRACTIVE 1.4 FIRE FLEX 8V 4P
373,ONIX HATCH LT 1.0 12V FLEX 5P MEC.,2021.0,GM - CHEVROLET,ONIX HATCH LT 1.0 12V FLEX 5P MEC.
374,ARGO DRIVE 1.3 8V FLEX,2018.0,FIAT,ARGO DRIVE 1.3 8V FLEX
375,WR-V EXL 1.5 FLEXONE 16V 5P AUT.,2021.0,HONDA,WR-V EXL 1.5 FLEXONE 16V 5P AUT.
378,DOBLO ESSENCE 1.8 FLEX 16V 5P,2021.0,FIAT,DOBLO ESSENCE 1.8 FLEX 16V 5P
381,PULSE DRIVE 1.3 8V FLEX AUT.,2022.0,FIAT,PULSE DRIVE 1.3 8V FLEX AUT.
382,CRONOS HGT 1.8 16V FLEX AUT.,2020.0,FIAT,CRONOS HGT 1.8 16V FLEX AUT.
383,CITY SEDAN EXL 1.5 FLEX 16V 4P AUT.,2018.0,HONDA,CITY SEDAN EXL 1.5 FLEX 16V 4P AUT.
385,ECOSPORT FSL AT 1.5,2021.0,FORD,FORD/ECOSPORT FSL AT 1.5
